ERROR 08-58-2019 05:58:15  [10] - New Smart Ticket, Id : 5 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'DefaultIfEmpty()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'DefaultIfEmpty()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'from Station s.FinishStation in {[s.FinishStation_group] => DefaultIfEmpty()}' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'FirstOrDefault()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'join Station s.FinishStation in value(Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[StationApplication.Entity.Entities.Station]) on Property([<generated>_1], "FinishStationId") equals Convert(Property([s.FinishStation], "Id"), Nullable`1)' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'DefaultIfEmpty()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'DefaultIfEmpty()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'from Station s.FinishStation in {[s.FinishStation_group] => DefaultIfEmpty()}' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'FirstOrDefault()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'Count()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'Count()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'Distinct()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'Distinct()' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'Take(__p_2)' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'Take(__p_2)' could not be translated and will be evaluated locally. 
WARN  08-58-2019 05:58:41 Microsoft.EntityFrameworkCore.Query [17] - The LINQ expression 'orderby Convert([o]?.sum, Int32) desc' could not be translated and will be evaluated locally. 
ERROR 08-58-2019 05:58:41  [17] - Kullanıcı : Admin Rapor Filtrelendi : Filtre Tarihi :9.03.2019 05:58:41 - 8.04.2019 05:58:41 
ERROR 08-58-2019 05:58:43  [17] - Kullanıcı : AdminVeri Filtrelendi : Filtre Tarihi :9.03.2019 05:58:43 - 8.04.2019 05:58:43 Listelenen veri sayısı : 10 
ERROR 08-58-2019 05:58:47  [17] - Kullanıcı : AdminVeri Filtrelendi : Filtre Tarihi :1.01.2019 00:00:00 - 31.12.2019 23:59:00 Listelenen veri sayısı : 10 
ERROR 08-58-2019 05:58:49  [15] - Kullanıcı : AdminVeri Excele Aktarıldı : Filtre Tarihi :1.01.2019 00:00:00 - 31.12.2019 23:59:00 Listelenen veri sayısı : 10 
